exchange,type,table,base,quote,usd_volume
Binance,spot,binance_arkm_usdc_1m,arkm,usdc,529316.7791
Binance,spot,binance_ar_usdc_1m,ar,usdc,1229430.4266000001
Binance,spot,binance_bb_usdc_1m,bb,usdc,339551.02434000006
Binance,spot,binance_crv_usdc_1m,crv,usdc,2591100.8046699995
Binance,spot,binance_people_usdc_1m,people,usdc,160679.39723049998
Binance,spot,binance_pepe_eur_1m,pepe,eur,359784.87213985494
Binance,spot,binance_pha_usdc_1m,pha,usdc,123184.39345
Binance,spot,binance_s_usdt_1m,s,usdt,9953688.472930003
Binance,spot,binance_ens_usdc_1m,ens,usdc,600264.6011
Binance,spot,binance_ldo_usdc_1m,ldo,usdc,1889121.0437110001
Binance,spot,binance_not_usdc_1m,not,usdc,225232.32946600002
Binance,spot,binance_tnsr_usdc_1m,tnsr,usdc,33360.26047
Binance,spot,binance_io_usdt_1m,io,usdt,2714611.1405999996
Binance,spot,binance_wif_eur_1m,wif,eur,111385.81906000001
Binance,spot,binance_lista_usdt_1m,lista,usdt,3097392.18862
Binance,spot,binance_zro_usdt_1m,zro,usdt,7298829.531420001
Binance,spot,binance_1000sats_usdc_1m,1000sats,usdc,311600.74485866993
Binance,spot,binance_g_usdt_1m,g,usdt,1170083.8423300001
Binance,spot,binance_render_usdt_1m,render,usdt,10082931.829519998
Binance,spot,binance_render_usdc_1m,render,usdc,3080150.9975650003
Binance,spot,binance_render_eur_1m,render,eur,174794.34110999998
Binance,spot,binance_ton_usdt_1m,ton,usdt,23944789.78636
Binance,spot,binance_ton_usdc_1m,ton,usdc,1728362.5046
Binance,spot,binance_dogs_usdt_1m,dogs,usdt,2455900.0948870494
Binance,spot,binance_euri_usdt_1m,euri,usdt,1673093.2369849999
Binance,spot,binance_aave_usdc_1m,aave,usdc,6583595.299745001
Binance,spot,binance_pol_eur_1m,pol,eur,113461.16749499999
Binance,spot,binance_pol_usdt_1m,pol,usdt,8568452.748485
Binance,spot,binance_neiro_usdt_1m,neiro,usdt,6033528.961989625
Binance,spot,binance_turbo_usdt_1m,turbo,usdt,2285098.7954609995
Binance,spot,binance_1mbabydoge_usdt_1m,1mbabydoge,usdt,1643502.8783903501
Binance,spot,binance_hmstr_usdt_1m,hmstr,usdt,1093557.6286215
Binance,spot,binance_eigen_usdt_1m,eigen,usdt,11495141.498740003
Binance,spot,binance_cow_usdt_1m,cow,usdt,1477629.8796050001
Binance,spot,binance_cetus_usdt_1m,cetus,usdt,1415974.77137
Binance,spot,binance_bnsol_usdt_1m,bnsol,usdt,82785100.22699998
Binance,spot,binance_lumia_usdt_1m,lumia,usdt,842366.0911850001
Binance,spot,binance_pnut_usdt_1m,pnut,usdt,7353258.01856
Binance,spot,binance_act_usdt_1m,act,usdt,2444649.4129100004
Binance,spot,binance_act_usdc_1m,act,usdc,148321.33972999998
Binance,spot,binance_neiro_usdc_1m,neiro,usdc,692467.5128454801
Binance,spot,binance_pnut_usdc_1m,pnut,usdc,579152.7626400001
Binance,spot,binance_usual_usdt_1m,usual,usdt,2598551.2983350004
Binance,spot,binance_cati_usdc_1m,cati,usdc,36593.17253
Binance,spot,binance_pnut_eur_1m,pnut,eur,4992.4239800000005
Binance,spot,binance_hbar_usdc_1m,hbar,usdc,5594794.728375
Binance,spot,binance_om_usdc_1m,om,usdc,688728.8585549998
Binance,spot,binance_ray_usdc_1m,ray,usdc,1270020.3730500003
Binance,spot,binance_tao_usdc_1m,tao,usdc,7273804.886119999
Binance,spot,binance_the_usdt_1m,the,usdt,2095287.8059250002
Binance,spot,binance_bome_eur_1m,bome,eur,5231.7740275
Binance,spot,binance_eigen_usdc_1m,eigen,usdc,867737.83495
Binance,spot,binance_meme_usdc_1m,meme,usdc,193809.59447700004
Binance,spot,binance_wld_eur_1m,wld,eur,135655.22585
Binance,spot,binance_1mbabydoge_usdc_1m,1mbabydoge,usdc,173735.82360144996
Binance,spot,binance_cetus_usdc_1m,cetus,usdc,208523.10824
Binance,spot,binance_cow_usdc_1m,cow,usdc,99173.57298499999
Binance,spot,binance_dydx_usdc_1m,dydx,usdc,683539.9873355001
Binance,spot,binance_hmstr_usdc_1m,hmstr,usdc,126693.86164999999
Binance,spot,binance_turbo_usdc_1m,turbo,usdc,370962.02266950003
Binance,spot,binance_kaia_usdc_1m,kaia,usdc,198236.27624999997
Binance,spot,binance_sand_usdc_1m,sand,usdc,367515.16354999994
Binance,spot,binance_chz_usdc_1m,chz,usdc,455560.27497999993
Binance,spot,binance_pyth_usdc_1m,pyth,usdc,845240.069355
Binance,spot,binance_rsr_usdc_1m,rsr,usdc,666281.1860488501
Binance,spot,binance_w_usdc_1m,w,usdc,955891.5855599999
Binance,spot,binance_xtz_usdc_1m,xtz,usdc,129356.07158499998
Binance,spot,binance_acx_usdt_1m,acx,usdt,544089.8066200002
Binance,spot,binance_orca_usdt_1m,orca,usdt,845420.270095
Binance,spot,binance_move_usdt_1m,move,usdt,1617081.35342
Binance,spot,binance_acx_usdc_1m,acx,usdc,73353.13782500001
Binance,spot,binance_orca_usdc_1m,orca,usdc,109097.03408
Binance,spot,binance_hive_usdc_1m,hive,usdc,152800.10064999998
Binance,spot,binance_idex_usdc_1m,idex,usdc,26525.398278500004
Binance,spot,binance_tlm_usdc_1m,tlm,usdc,89201.33539499999
Binance,spot,binance_velodrome_usdt_1m,velodrome,usdt,753121.5826249999
Binance,spot,binance_vana_usdt_1m,vana,usdt,1446056.27179
Binance,spot,binance_1000cat_usdc_1m,1000cat,usdc,170132.43699999998
Binance,spot,binance_pengu_usdc_1m,pengu,usdc,5692979.0520635005
Binance,spot,binance_bio_usdt_1m,bio,usdt,4537825.632035
Binance,spot,binance_bio_usdc_1m,bio,usdc,710550.6897100001
Binance,spot,binance_move_usdc_1m,move,usdc,60143.47099
Binance,spot,binance_d_usdt_1m,d,usdt,315832.27153499995
Binance,spot,binance_steem_usdc_1m,steem,usdc,41491.666070000014
Binance,spot,binance_usual_usdc_1m,usual,usdc,299462.11198
Binance,spot,binance_aixbt_usdt_1m,aixbt,usdt,2764943.47407
Binance,spot,binance_aixbt_usdc_1m,aixbt,usdc,110499.332925
Binance,spot,binance_cgpt_usdt_1m,cgpt,usdt,830639.0553600001
Binance,spot,binance_cgpt_usdc_1m,cgpt,usdc,165342.26139499998
Binance,spot,binance_cookie_usdt_1m,cookie,usdt,1100983.69112
Binance,spot,binance_cookie_usdc_1m,cookie,usdc,120558.973225
Binance,spot,binance_s_eur_1m,s,eur,46850.832375
Binance,spot,binance_s_usdc_1m,s,usdc,1377665.7255800003
